source,page,text,entities
news_excerpts_parsed.xlsx,,"https://edition.cnn.com/2023/09/29/business/starbucks-union-wages/index.html Starbucks violated federal labor law when it increased wages and offered new perks and benefits only to non-union employees, a National Labor Relations Board judge found Thursday. The decision is the latest in a series of NLRB rulings finding that Starbucks has violated labor law in its efforts to stop unions from forming in its coffee shops. “The issue at the heart of this case is whether, under current Board law, [Starbucks] was entitled to explicitly reward employees,” for not participating in union activity, “while falsely telling its workers that the federal labor law forced it to take this action,” wrote administrative law judge Mara-Louise Anzalone. “It was not.”","[{'text': 'Starbucks', 'label': 'ORG'}, {'text': 'National Labor Relations Board', 'label': 'ORG'}, {'text': 'Thursday', 'label': 'DATE'}, {'text': 'NLRB', 'label': 'GPE'}, {'text': 'Starbucks', 'label': 'ORG'}, {'text': 'Board', 'label': 'ORG'}, {'text': 'Starbucks', 'label': 'ORG'}, {'text': 'Mara-Louise Anzalone', 'label': 'PERSON'}]"
news_excerpts_parsed.xlsx,,"https://www.channelnewsasia.com/singapore/su-wenqiang-pleads-guilty-billion-dollar-money-laundering-convicted-4234731 The first suspect to plead guilty in Singapore's largest money laundering case was convicted and sentenced to 13 months' jail in a district court on Tuesday (Apr 2). Su Wenqiang, 32, admitted to 11 charges of money laundering, possessing proceeds from illegal remote gambling offences and lying to get work passes for himself and his wife. More than S$3 billion (US$2.2 billion) in assets have been seized or frozen in relation to the case. This likely makes it one of the largest money laundering operations in the world. Su was among 10 suspects arrested in simultaneous police raids last August. The Cambodian national, whose passport states that he is from Fujian, was nabbed in a Good Class Bungalow along Lewis Road in Bukit Timah.","[{'text': 'first', 'label': 'ORDINAL'}, {'text': 'Singapore', 'label': 'GPE'}, {'text': ""13 months'"", 'label': 'DATE'}, {'text': 'Tuesday', 'label': 'DATE'}, {'text': 'Su Wenqiang', 'label': 'PERSON'}, {'text': '32', 'label': 'DATE'}, {'text': '11', 'label': 'CARDINAL'}, {'text': 'More than S$3 billion', 'label': 'MONEY'}, {'text': 'US$2.2 billion', 'label': 'MONEY'}, {'text': 'Su', 'label': 'PERSON'}, {'text': '10', 'label': 'CARDINAL'}, {'text': 'last August', 'label': 'DATE'}, {'text': 'Cambodian', 'label': 'NORP'}, {'text': 'Fujian', 'label': 'GPE'}, {'text': 'Lewis Road', 'label': 'FAC'}, {'text': 'Bukit Timah', 'label': 'GPE'}]"
news_excerpts_parsed.xlsx,,"https://edition.cnn.com/2023/05/22/tech/meta-facebook-data-privacy-eu-fine/index.html Meta has been fined a record-breaking €1.2 billion ($1.3 billion) by European Union regulators for violating EU privacy laws by transferring the personal data of Facebook users to servers in the United States. The European Data Protection Board announced the fine in a statement Monday, saying it followed an inquiry into Facebook (FB) by the Irish Data Protection Commission, the chief regulator overseeing Meta’s operations in Europe. The move highlights ongoing uncertainty about how global businesses may legally transfer EU users’ data to servers overseas. The EU regulator said the processing and storage of personal data in the United States contravened Europe’s signature data privacy law, known as the General Data Protection Regulation. Chapter 5 of the GDPR sets out the conditions under which personal data can be transferred to third countries or international organizations.","[{'text': 'Meta', 'label': 'ORG'}, {'text': '€1.2 billion', 'label': 'MONEY'}, {'text': '$1.3 billion', 'label': 'MONEY'}, {'text': 'European Union', 'label': 'ORG'}, {'text': 'EU', 'label': 'ORG'}, {'text': 'Facebook', 'label': 'ORG'}, {'text': 'the United States', 'label': 'GPE'}, {'text': 'The European Data Protection Board', 'label': 'ORG'}, {'text': 'Monday', 'label': 'DATE'}, {'text': 'Facebook', 'label': 'ORG'}, {'text': 'the Irish Data Protection Commission', 'label': 'ORG'}, {'text': 'Meta', 'label': 'ORG'}, {'text': 'Europe', 'label': 'LOC'}, {'text': 'EU', 'label': 'ORG'}, {'text': 'EU', 'label': 'ORG'}, {'text': 'the United States', 'label': 'GPE'}, {'text': 'Europe', 'label': 'LOC'}, {'text': 'the General Data Protection Regulation', 'label': 'ORG'}, {'text': 'Chapter 5', 'label': 'LAW'}, {'text': 'third', 'label': 'ORDINAL'}]"
news_excerpts_parsed.xlsx,,https://www.channelnewsasia.com/singapore/billion-dollar-money-laundering-case-zhang-ruijin-sentenced-15-months-jail-4302416 SINGAPORE: A 45-year-old man linked to Singapore’s largest money laundering case was sentenced to 15 months' jail on Tuesday (Apr 30). Zhang Ruijin was also ordered to forfeit around S$118 million of his assets to the state. This amounts to about 90 per cent of the S$131 million worth of assets originally seized by the police. He is the fifth of 10 accused persons to be dealt with in relation to the case. Zhang pleaded guilty on Tuesday to two counts of forgery-related offences and one of failing to satisfactorily account for property reasonably suspected to be benefits from criminal conduct.,"[{'text': 'https://www.channelnewsasia.com/singapore/billion-dollar-money-laundering-case-zhang-ruijin-sentenced-15-months-jail-4302416 SINGAPORE', 'label': 'ORG'}, {'text': '45-year-old', 'label': 'DATE'}, {'text': 'Singapore', 'label': 'GPE'}, {'text': ""15 months'"", 'label': 'DATE'}, {'text': 'Tuesday', 'label': 'DATE'}, {'text': 'Zhang Ruijin', 'label': 'PERSON'}, {'text': 'about 90 per cent', 'label': 'MONEY'}, {'text': 'fifth', 'label': 'ORDINAL'}, {'text': '10', 'label': 'CARDINAL'}, {'text': 'Zhang', 'label': 'PERSON'}, {'text': 'Tuesday', 'label': 'DATE'}, {'text': 'two', 'label': 'CARDINAL'}, {'text': 'one', 'label': 'CARDINAL'}]"
news_excerpts_parsed.xlsx,,"https://edition.cnn.com/2024/03/05/politics/liberty-university-fined-campus-safety/index.html The Department of Education imposed a record $14 million fine on Liberty University, a Christian college located in Virginia, over violations of a campus safety law, officials said Tuesday. The Department of Education said it was the largest fine ever imposed for violating the Clery Act, which requires colleges to maintain and disclose campus crime statistics and security information. Liberty University also agreed to spend an additional $2 million to improve on-campus safety over the next two years. The Department of Education initiated the review in 2022 after receiving complaints that alleged the college committed violations of the Clery Act. The review also followed a 2021 lawsuit, in which 12 women claimed that the school created an environment that increased the likelihood of sexual assault and rape. The case was settled in 2022.","[{'text': 'The Department of Education', 'label': 'ORG'}, {'text': 'a record $14 million', 'label': 'MONEY'}, {'text': 'Liberty University', 'label': 'ORG'}, {'text': 'Christian', 'label': 'NORP'}, {'text': 'Virginia', 'label': 'GPE'}, {'text': 'Tuesday', 'label': 'DATE'}, {'text': 'The Department of Education', 'label': 'ORG'}, {'text': 'the Clery Act', 'label': 'LAW'}, {'text': 'Liberty University', 'label': 'ORG'}, {'text': 'an additional $2 million', 'label': 'MONEY'}, {'text': 'the next two years', 'label': 'DATE'}, {'text': 'The Department of Education', 'label': 'ORG'}, {'text': '2022', 'label': 'CARDINAL'}, {'text': 'the Clery Act', 'label': 'LAW'}, {'text': '2021', 'label': 'CARDINAL'}, {'text': '12', 'label': 'CARDINAL'}, {'text': '2022', 'label': 'CARDINAL'}]"
news_excerpts_parsed.xlsx,,"https://www.euronews.com/2024/02/23/judge-convicts-former-austrian-chancellor-sebastian-kurz After twelve days of deliberation, a Vienna court has delivered its verdict on the trial of former Austrian Chancellor Sebastian Kurz. He has been convicted of making false statements to a parliamentary inquiry. The verdict at the Vienna criminal court followed a four-month trial. The case marked the first time in more than 30 years that a former Austrian chancellor had stood trial. He was given an eight-month suspended sentence. Kurz, who was once hailed as a ""wunderkind"" of the Austrian People's Party, resigned in 2021 following a separate corruption probe. Prosecutors in the trial, which opened in October, accused the 37-year-old of giving false evidence in June 2020 during an inquiry regarding his role in setting up a holding company named OeBAG.","[{'text': 'twelve days', 'label': 'DATE'}, {'text': 'Vienna', 'label': 'GPE'}, {'text': 'Austrian', 'label': 'NORP'}, {'text': 'Sebastian Kurz', 'label': 'PERSON'}, {'text': 'Vienna', 'label': 'GPE'}, {'text': 'four-month', 'label': 'DATE'}, {'text': 'first', 'label': 'ORDINAL'}, {'text': 'more than 30 years', 'label': 'DATE'}, {'text': 'Austrian', 'label': 'NORP'}, {'text': 'eight-month', 'label': 'DATE'}, {'text': 'Kurz', 'label': 'PERSON'}, {'text': ""the Austrian People's Party"", 'label': 'ORG'}, {'text': '2021', 'label': 'CARDINAL'}, {'text': 'October', 'label': 'DATE'}, {'text': '37-year-old', 'label': 'DATE'}, {'text': 'June 2020', 'label': 'DATE'}]"
news_excerpts_parsed.xlsx,,"https://edition.cnn.com/2022/07/21/economy/china-fines-didi-data-law-violation-intl-hnk/index.html China’s cyberspace regulator fined Didi Global just over 8 billion yuan ($1.2 billion) on Thursday for violating cybersecurity and data laws, putting an end to a yearlong investigation into the ride-hailing giant. The Cyberspace Administration of China (CAC) said in a statement that the firm had breached the country’s cybersecurity law, data security law, and personal information protection law. “The facts of violations of laws and regulations are clear, the evidence is conclusive, the circumstances are serious, and the nature is vile,” the statement added. Aside from the $1.19 billion penalty, the regulator also imposed a personal fine of 1 million yuan ($147,000) on Didi’s chairman and CEO Cheng Wei and president Liu Qing, respectively. Liu Qing is also known as Jean Liu in English.","[{'text': 'China', 'label': 'GPE'}, {'text': 'Didi Global', 'label': 'ORG'}, {'text': '$1.2 billion', 'label': 'MONEY'}, {'text': 'Thursday', 'label': 'DATE'}, {'text': 'yearlong', 'label': 'DATE'}, {'text': 'The Cyberspace Administration of China', 'label': 'ORG'}, {'text': 'CAC', 'label': 'ORG'}, {'text': '$1.19 billion', 'label': 'MONEY'}, {'text': '1 million yuan', 'label': 'MONEY'}, {'text': '147,000', 'label': 'MONEY'}, {'text': 'Didi', 'label': 'GPE'}, {'text': 'Cheng Wei', 'label': 'PERSON'}, {'text': 'Liu Qing', 'label': 'PERSON'}, {'text': 'Liu Qing', 'label': 'PERSON'}, {'text': 'Jean Liu', 'label': 'PERSON'}, {'text': 'English', 'label': 'LANGUAGE'}]"
news_excerpts_parsed.xlsx,,"https://www.brusselstimes.com/justice-belgium/1011990/two-alleged-leaders-of-vast-drug-trafficking-operation-looking-at-20-years-in-prison On Thursday, the Brussels Criminal Court’s prosecutor, requested 20-year prison sentences for Alfredo H. and Indrit K. in the Black Eagle case, related to a large drug trafficking operation. She identified these two Albanian nationals as the leaders of the criminal organisation responsible for the drug trafficking operation. Prosecution evidence includes cocaine seizures conducted throughout the investigation launched in 2020, with an estimated value of €13.42 million. Alfredo H., pinpointed as one of the operation’s heads, was found to have connections with Italian mafia groups established in Limburg and heads of a larger organisation based in Majorca. ""They implemented modern business methods, sharing resources, workforce, and equipment,"" explained the prosecutor.","[{'text': 'https://www.brusselstimes.com/justice-belgium/1011990/two-alleged-leaders-of-vast-drug-trafficking-operation-looking-at-20-years-in-prison', 'label': 'GPE'}, {'text': 'Thursday', 'label': 'DATE'}, {'text': 'the Brussels Criminal Court’s', 'label': 'ORG'}, {'text': '20-year', 'label': 'DATE'}, {'text': 'Alfredo H.', 'label': 'PERSON'}, {'text': 'Indrit K.', 'label': 'PERSON'}, {'text': 'two', 'label': 'CARDINAL'}, {'text': 'Albanian', 'label': 'NORP'}, {'text': '2020', 'label': 'DATE'}, {'text': '€13.42 million', 'label': 'MONEY'}, {'text': 'Alfredo H.', 'label': 'PERSON'}, {'text': 'Italian', 'label': 'NORP'}, {'text': 'Limburg', 'label': 'GPE'}, {'text': 'Majorca', 'label': 'ORG'}]"
news_excerpts_parsed.xlsx,,"https://www.expats.cz/czech-news/article/former-czech-mp-gets-three-year-jail-term-for-multiple-charges-of-rape The Prague 3 District Court this morning sentenced former member of parliament (MP) Dominik Feri to three years in prison for two rapes and one attempted rape, finding him guilty on all counts of his indictments. Feri, 27, has also been ordered to pay a total of over CZK 500,000 as financial compensation to his victims. The verdict is not final and Feri is expected to appeal it to the Prague Metropolitan Court. An MP for the TOP 09 party between 2017 and 2021, Feri is accused of committing two acts in his apartment in 2016 and once at the Chamber of Deputies building two years later.","[{'text': '3', 'label': 'CARDINAL'}, {'text': 'this morning', 'label': 'TIME'}, {'text': 'Dominik Feri', 'label': 'PERSON'}, {'text': 'three years', 'label': 'DATE'}, {'text': 'two', 'label': 'CARDINAL'}, {'text': 'one', 'label': 'CARDINAL'}, {'text': 'Feri', 'label': 'ORG'}, {'text': '27', 'label': 'DATE'}, {'text': 'over CZK 500,000', 'label': 'CARDINAL'}, {'text': 'Feri', 'label': 'ORG'}, {'text': 'the Prague Metropolitan Court', 'label': 'ORG'}, {'text': '09', 'label': 'CARDINAL'}, {'text': 'between 2017 and 2021', 'label': 'CARDINAL'}, {'text': 'Feri', 'label': 'ORG'}, {'text': 'two', 'label': 'CARDINAL'}, {'text': '2016', 'label': 'DATE'}, {'text': 'the Chamber of Deputies', 'label': 'ORG'}, {'text': 'two years later', 'label': 'DATE'}]"
news_excerpts_parsed.xlsx,,"https://www.thelocal.dk/20240311/british-trader-on-trial-in-denmark-for-massive-fraud Sanjay Shah, who was arrested in June 2022 in Dubai where he was living, is accused of running a nine-billion-kroner ($1.32-billion) scam that enabled companies he controlled to fraudulently claim Danish tax refunds between 2012 and 2015. Shah, 53, has said he is not guilty and did not violate Danish law. He faces up to 12 years in prison if the Glostrup district court in Copenhagen finds him guilty. The United Arab Emirates extradited Shah to Denmark in December, after years of negotiations which included the signing of an extradition treaty between the two countries in March 2022. The prosecution said in a statement that Shah had ""used a well-designed and organised fraud scheme to submit more than 3,000 applications to unlawfully receive more than nine billion kroner in dividend tax refunds from the Treasury.""","[{'text': 'Sanjay Shah', 'label': 'PERSON'}, {'text': 'June 2022', 'label': 'DATE'}, {'text': 'Dubai', 'label': 'GPE'}, {'text': 'nine-billion-kroner', 'label': 'MONEY'}, {'text': '$1.32-billion', 'label': 'MONEY'}, {'text': 'Danish', 'label': 'NORP'}, {'text': 'between 2012 and 2015', 'label': 'DATE'}, {'text': 'Shah', 'label': 'PERSON'}, {'text': '53', 'label': 'DATE'}, {'text': 'Danish', 'label': 'NORP'}, {'text': 'up to 12 years', 'label': 'DATE'}, {'text': 'Copenhagen', 'label': 'LOC'}, {'text': 'The United Arab Emirates', 'label': 'ORG'}, {'text': 'Shah', 'label': 'PERSON'}, {'text': 'Denmark', 'label': 'GPE'}, {'text': 'December', 'label': 'DATE'}, {'text': 'years', 'label': 'DATE'}, {'text': 'two', 'label': 'CARDINAL'}, {'text': 'March 2022', 'label': 'DATE'}, {'text': 'Shah', 'label': 'PERSON'}, {'text': 'more than 3,000', 'label': 'CARDINAL'}, {'text': 'more than nine billion kroner', 'label': 'MONEY'}, {'text': 'Treasury', 'label': 'ORG'}]"
